Date,Title,Link,Matched Terms,Inline Links
2026-03-10,The Zero-Day Scramble is Avoidable: A Guide to Attack Surface Reduction,https://thehackernews.com/2026/03/the-zero-day-scramble-is-avoidable.html,critical Vulnerability,
2026-03-10,Threat Actors Mass-Scan Salesforce Experience Cloud via Modified AuraInspector Tool,https://thehackernews.com/2026/03/threat-actors-mass-scan-salesforce.html,Salesforce,
2026-03-10,"CISA Flags SolarWinds, Ivanti, and Workspace One Vulnerabilities as Actively Exploited",https://thehackernews.com/2026/03/cisa-flags-solarwinds-ivanti-and.html,CVE-2021-22054,
2026-03-07,"OpenAI Codex Security Scanned 1.2 Million Commits and Found 10,561 High-Severity Issues",https://thehackernews.com/2026/03/openai-codex-security-scanned-12.html,OpenAI,
2026-03-06,Transparent Tribe Uses AI to Mass-Produce Malware Implants in Campaign Targeting India,https://thehackernews.com/2026/03/transparent-tribe-uses-ai-to-mass.html,IOC,
2026-03-06,Iran-Linked MuddyWater Hackers Target U.S. Networks With New Dindoor Backdoor,https://thehackernews.com/2026/03/iran-linked-muddywater-hackers-target.html,"Broadcom, Iran",
2026-03-06,Hikvision and Rockwell Automation CVSS 9.8 Flaws Added to CISA KEV Catalog,https://thehackernews.com/2026/03/hikvision-and-rockwell-automation-cvss.html,CVE-2017-7921,
2026-03-05,Dust Specter Targets Iraqi Officials with New SPLITDROP and GHOSTFORM Malware,https://thehackernews.com/2026/03/dust-specter-targets-iraqi-officials.html,Iran,
2026-03-05,APT28-Linked Campaign Deploys BadPaw Loader and MeowMeow Backdoor in Ukraine,https://thehackernews.com/2026/03/apt28-linked-campaign-deploys-badpaw.html,Phish,
2026-03-05,"Europol-Led Operation Takes Down Tycoon 2FA Phishing-as-a-Service Linked to 64,000 Attacks",https://thehackernews.com/2026/03/europol-led-operation-takes-down-tycoon.html,Phish,
2026-03-04,149 Hacktivist DDoS Attacks Hit 110 Organizations in 16 Countries After Middle East Conflict,https://thehackernews.com/2026/03/149-hacktivist-ddos-attacks-hit-110.html,Iran,
2026-03-04,APT41-Linked Silver Dragon Targets Governments Using Cobalt Strike and Google Drive C2,https://thehackernews.com/2026/03/apt41-linked-silver-dragon-targets.html,Phish,
2026-03-04,CISA Adds Actively Exploited VMware Aria Operations Flaw CVE-2026-22719 to KEV Catalog,https://thehackernews.com/2026/03/cisa-adds-actively-exploited-vmware.html,"Broadcom, CVE-2026-22719",
2026-03-03,Starkiller Phishing Suite Uses AitM Reverse Proxy to Bypass Multi-Factor Authentication,https://thehackernews.com/2026/03/starkiller-phishing-suite-uses-aitm.html,Phish,
2026-03-03,Microsoft Warns OAuth Redirect Abuse Delivers Malware to Government Targets,https://thehackernews.com/2026/03/microsoft-warns-oauth-redirect-abuse.html,Phish,
2026-03-03,Google Confirms CVE-2026-21385 in Qualcomm Android Component Exploited,https://thehackernews.com/2026/03/google-confirms-cve-2026-21385-in.html,CVE-2026-21385,
2026-03-02,APT28 Tied to CVE-2026-21513 MSHTML 0-Day Exploited Before Feb 2026 Patch Tuesday,https://thehackernews.com/2026/03/apt28-tied-to-cve-2026-21513-mshtml-0.html,CVE-2026-21513,
2026-03-10,The Zero-Day Scramble is Avoidable: A Guide to Attack Surface Reduction,https://thehackernews.com/2026/03/the-zero-day-scramble-is-avoidable.html,critical Vulnerability,
2026-03-10,Threat Actors Mass-Scan Salesforce Experience Cloud via Modified AuraInspector Tool,https://thehackernews.com/2026/03/threat-actors-mass-scan-salesforce.html,Salesforce,
2026-03-10,"CISA Flags SolarWinds, Ivanti, and Workspace One Vulnerabilities as Actively Exploited",https://thehackernews.com/2026/03/cisa-flags-solarwinds-ivanti-and.html,CVE-2021-22054,
2026-03-07,"OpenAI Codex Security Scanned 1.2 Million Commits and Found 10,561 High-Severity Issues",https://thehackernews.com/2026/03/openai-codex-security-scanned-12.html,OpenAI,
2026-03-06,Transparent Tribe Uses AI to Mass-Produce Malware Implants in Campaign Targeting India,https://thehackernews.com/2026/03/transparent-tribe-uses-ai-to-mass.html,IOC,
2026-03-06,Iran-Linked MuddyWater Hackers Target U.S. Networks With New Dindoor Backdoor,https://thehackernews.com/2026/03/iran-linked-muddywater-hackers-target.html,"Broadcom, Iran",
